Member ID,Signup Date,Last Login Date,Refunds,Total Amount,Credit Amount,First Order Date,Last Order Date
290190,1/2/2015,5/20/2023,1,-198.88,NULL,10/23/2018,10/23/2018
290203,1/2/2015,5/9/2023,1,-227.32,NULL,9/22/2021,9/22/2021
290212,1/2/2015,2/17/2023,2,-834.96,-30,1/28/2019,6/2/2021
290242,1/2/2015,5/9/2023,1,-57.9,NULL,8/30/2017,8/30/2017
290251,1/2/2015,7/5/2016,1,-76.01,NULL,12/21/2015,12/21/2015
290289,1/2/2015,5/13/2023,1,-832.15,NULL,1/4/2015,1/4/2015
290305,1/2/2015,3/3/2023,1,-203.58,NULL,1/9/2015,1/9/2015
290332,1/2/2015,5/20/2023,1,-872.46,NULL,1/8/2022,1/8/2022
290334,1/2/2015,5/10/2023,2,-361.8,NULL,4/24/2018,4/27/2023
290343,1/2/2015,7/27/2022,1,-552.4,NULL,3/1/2019,3/1/2019
290360,1/2/2015,5/14/2023,2,-588.3,NULL,4/25/2015,12/29/2018
290361,1/2/2015,5/31/2023,1,-517.32,NULL,5/10/2023,5/10/2023
290363,1/2/2015,5/19/2023,1,-1232.88,NULL,10/26/2022,10/26/2022
290367,1/2/2015,3/16/2023,1,-81.54,NULL,3/19/2021,3/19/2021
290389,1/2/2015,4/18/2023,2,-59.55,NULL,8/3/2016,12/28/2018
290421,1/2/2015,10/16/2019,3,-672.94,NULL,4/6/2019,10/24/2019
290423,1/2/2015,2/24/2019,1,-55.12,NULL,7/4/2016,7/4/2016
290448,1/2/2015,5/31/2023,2,-1438.24,NULL,7/28/2022,2/17/2023
290503,1/2/2015,10/6/2017,1,-595.52,NULL,8/3/2016,8/3/2016
290505,1/2/2015,5/22/2023,5,-3652.08,NULL,12/14/2018,8/17/2021
290512,1/2/2015,4/18/2023,1,0,NULL,7/30/2017,7/30/2017
290537,1/2/2015,4/20/2023,1,-123.87,-10,6/9/2022,6/9/2022
290560,1/2/2015,4/18/2023,1,-299.33,NULL,3/9/2023,3/9/2023
290593,1/2/2015,5/26/2023,9,-7408.23,-120,12/19/2017,3/20/2023
290608,1/2/2015,8/20/2020,2,-537.96,NULL,6/23/2015,2/25/2016
290621,1/2/2015,4/25/2023,1,-194.29,NULL,11/6/2015,11/6/2015
290626,1/2/2015,5/25/2023,3,-1571.34,NULL,2/17/2015,5/18/2022
290629,1/2/2015,2/14/2023,1,-793.96,NULL,2/12/2019,2/12/2019
290634,1/2/2015,5/8/2023,5,-1223.08,-90,2/26/2020,10/1/2022
290637,1/2/2015,6/1/2023,1,-232.25,-25,3/6/2023,3/6/2023
290645,1/2/2015,9/25/2022,1,-230.41,NULL,2/7/2015,2/7/2015
290650,1/2/2015,4/23/2023,1,-788.56,NULL,1/25/2023,1/25/2023
290676,1/2/2015,11/3/2021,1,-403.36,NULL,10/7/2016,10/7/2016
290679,1/2/2015,5/6/2023,1,-1065.74,-30,2/21/2023,2/21/2023
290682,1/2/2015,6/1/2023,2,-209.31,NULL,3/30/2020,12/5/2020
290721,1/3/2015,5/24/2023,15,-7202.06,-20,3/2/2022,4/14/2023
290799,1/3/2015,6/1/2023,20,-2437.07,-88.79,2/23/2015,6/10/2021
290816,1/3/2015,1/20/2023,1,-976.56,NULL,9/22/2022,9/22/2022
290847,1/3/2015,2/7/2023,6,-1779.9,NULL,2/6/2019,7/28/2022
290874,1/3/2015,5/30/2023,2,-1464.77,NULL,4/26/2021,6/3/2021
290884,1/3/2015,4/28/2023,2,-2650.26,NULL,7/31/2021,7/31/2021
290935,1/3/2015,5/21/2023,2,-1799.51,NULL,6/6/2021,3/28/2022
290949,1/3/2015,5/31/2023,1,-68.56,NULL,8/21/2018,8/21/2018
290955,1/3/2015,4/13/2023,1,-326.07,NULL,12/30/2019,12/30/2019
290975,1/3/2015,8/18/2022,1,-520.2,NULL,7/7/2020,7/7/2020
290988,1/3/2015,5/31/2023,2,-1039.84,-15,4/14/2021,8/3/2022
290990,1/3/2015,5/2/2023,1,-487.31,NULL,3/29/2023,3/29/2023
291017,1/3/2015,4/13/2023,1,-315.24,NULL,10/19/2020,10/19/2020
291027,1/3/2015,5/20/2023,1,-1395.64,NULL,1/18/2022,1/18/2022
291060,1/3/2015,11/9/2022,1,-156.02,NULL,12/1/2017,12/1/2017
291080,1/3/2015,12/7/2022,1,-67.43,NULL,4/15/2019,4/15/2019
291163,1/3/2015,3/20/2020,1,-1160.31,NULL,3/20/2020,3/20/2020
291206,1/3/2015,5/27/2023,28,-15073.3,-30,10/29/2019,5/20/2023
291215,1/3/2015,5/30/2023,3,-1929.22,NULL,5/3/2017,10/16/2021
291238,1/3/2015,5/23/2023,1,-82.45,NULL,11/29/2017,11/29/2017
291251,1/3/2015,3/11/2023,1,-306.86,NULL,12/25/2016,12/25/2016
291265,1/3/2015,5/19/2023,1,-415.16,NULL,12/18/2019,12/18/2019
291272,1/3/2015,3/30/2023,6,-1900.48,NULL,11/16/2021,6/27/2022
291280,1/4/2015,6/2/2023,1,-309.8,NULL,7/21/2021,7/21/2021
291327,1/4/2015,5/2/2023,1,-374.13,NULL,3/8/2016,3/8/2016
291334,1/4/2015,9/29/2021,2,-383.45,NULL,6/19/2017,4/17/2021
291394,1/4/2015,9/8/2022,1,-260.67,NULL,8/2/2019,8/2/2019
291421,1/4/2015,4/7/2023,1,-372.61,NULL,4/19/2019,4/19/2019
291454,1/4/2015,8/2/2022,1,-266.09,NULL,7/23/2021,7/23/2021
291461,1/4/2015,6/2/2023,1,-196.79,NULL,6/20/2021,6/20/2021
291462,1/4/2015,12/9/2022,1,-238.86,NULL,12/24/2017,12/24/2017
291490,1/4/2015,5/30/2023,4,-1043.12,NULL,9/10/2018,11/17/2021
291519,1/4/2015,2/1/2023,1,-74.82,NULL,12/26/2015,12/26/2015
291540,1/4/2015,3/21/2023,1,-247.75,NULL,12/17/2017,12/17/2017
291546,1/4/2015,4/10/2023,1,-248.59,NULL,8/7/2020,8/7/2020
291564,1/4/2015,5/6/2023,4,-560.42,NULL,5/26/2019,7/18/2020
291568,1/4/2015,5/31/2023,5,-1840.25,NULL,10/9/2016,7/28/2019
291605,1/4/2015,6/9/2022,1,-397.82,NULL,7/12/2017,7/12/2017
291623,1/4/2015,5/30/2023,8,-4273.18,NULL,9/8/2019,5/13/2023
291692,1/4/2015,4/6/2023,1,-445.66,NULL,4/17/2019,4/17/2019
291693,1/4/2015,5/28/2023,1,-1257.52,NULL,6/8/2017,6/8/2017
291711,1/4/2015,10/23/2020,2,-931.59,NULL,10/18/2019,4/14/2020
291745,1/4/2015,3/20/2023,3,-2974.85,NULL,4/1/2022,5/3/2022
291796,1/4/2015,4/20/2023,2,-1402.47,NULL,5/20/2020,8/21/2021
291799,1/4/2015,2/24/2023,4,-634.75,NULL,6/16/2015,1/19/2017
291801,1/4/2015,6/1/2023,11,-2655.8,NULL,3/20/2021,3/11/2023
291812,1/4/2015,5/21/2023,7,-4454.96,-20,11/7/2017,10/26/2020
291839,1/4/2015,10/25/2019,1,-157.15,NULL,2/5/2015,2/5/2015
291844,1/5/2015,5/31/2023,4,-1133.57,NULL,12/5/2018,5/31/2023
291940,1/5/2015,5/23/2023,1,-547.35,NULL,7/4/2020,7/4/2020
291948,1/5/2015,5/23/2023,11,-5938.35,-30,8/14/2016,4/26/2023
291959,1/5/2015,5/26/2023,1,-60.35,NULL,11/10/2020,11/10/2020
291983,1/5/2015,4/18/2023,1,-391.11,NULL,7/3/2015,7/3/2015
292018,1/5/2015,5/1/2023,1,-277.26,-10,4/2/2022,4/2/2022
292041,1/5/2015,11/8/2022,2,-1374.35,NULL,10/17/2017,10/17/2017
292056,1/5/2015,4/4/2023,2,-911.92,NULL,10/17/2017,1/23/2023
292070,1/5/2015,5/3/2023,3,-2084.62,NULL,9/21/2018,9/19/2022
292080,1/5/2015,6/1/2023,9,-12838.38,NULL,1/20/2022,4/17/2023
292101,1/5/2015,4/15/2023,2,-1785.64,NULL,1/10/2020,5/23/2020
292120,1/5/2015,5/14/2023,4,-1719.46,NULL,10/16/2022,10/24/2022
292138,1/5/2015,4/4/2018,2,-234.3,NULL,5/19/2016,5/19/2016
292159,1/5/2015,5/24/2023,3,-3070.07,-15,1/28/2019,9/5/2022
292163,1/5/2015,2/4/2015,1,-515.32,NULL,2/4/2015,2/4/2015
292177,1/5/2015,5/27/2023,2,-599.41,NULL,6/21/2020,2/12/2021
292179,1/5/2015,5/10/2023,1,-746.89,NULL,9/25/2016,9/25/2016
292182,1/5/2015,8/11/2018,2,-549.56,NULL,1/8/2015,4/28/2015
292190,1/5/2015,5/2/2021,1,-779.37,NULL,1/3/2016,1/3/2016
292211,1/5/2015,10/17/2022,7,-4739.09,NULL,11/22/2016,4/17/2018
292238,1/5/2015,5/15/2023,1,-224.11,NULL,2/23/2021,2/23/2021
292242,1/5/2015,5/21/2023,9,-7347.74,-90,2/24/2019,10/6/2022
292248,1/5/2015,12/29/2019,1,-221.53,NULL,10/21/2015,10/21/2015
292267,1/5/2015,6/2/2023,4,-1304.82,NULL,10/26/2018,2/18/2021
292274,1/5/2015,10/29/2019,1,-475.78,NULL,9/15/2016,9/15/2016
292287,1/5/2015,3/10/2023,2,-1500.74,NULL,12/17/2021,12/17/2021
292297,1/5/2015,7/16/2022,1,-69.54,NULL,11/3/2020,11/3/2020
292306,1/5/2015,5/27/2023,7,-524.58,-240,3/12/2022,4/28/2023
292323,1/5/2015,5/31/2023,2,-545.99,NULL,4/10/2022,4/19/2022
292325,1/5/2015,5/31/2023,1,-127.93,NULL,7/2/2022,7/2/2022
292330,1/5/2015,12/16/2022,2,-2336.25,-25,6/13/2021,8/9/2021
292341,1/5/2015,2/15/2023,1,-278.16,NULL,3/14/2019,3/14/2019
292350,1/5/2015,6/1/2023,1,-341.67,NULL,11/3/2022,11/3/2022
292357,1/5/2015,4/11/2021,2,-464.4,NULL,6/25/2019,2/21/2020
292358,1/5/2015,5/26/2023,3,-942.07,NULL,3/26/2017,3/6/2022
292360,1/5/2015,5/28/2023,10,-5561.61,NULL,1/29/2017,7/27/2022
292373,1/5/2015,5/31/2023,4,-2658.14,NULL,4/17/2023,5/31/2023
292378,1/5/2015,2/27/2023,1,-160.5,NULL,2/26/2023,2/26/2023
292384,1/5/2015,12/16/2016,1,-222.8,NULL,11/25/2016,11/25/2016
292391,1/5/2015,5/8/2023,1,-1525.04,NULL,8/6/2021,8/6/2021
292392,1/5/2015,5/30/2023,2,-343.06,NULL,9/21/2022,9/21/2022
292395,1/5/2015,4/15/2023,1,0,NULL,2/2/2016,2/2/2016
292397,1/5/2015,1/18/2023,1,-508.28,NULL,1/26/2023,1/26/2023
292449,1/5/2015,5/30/2023,6,-7884.3,NULL,2/1/2016,5/26/2021
292477,1/6/2015,5/9/2023,10,-8591.91,NULL,5/13/2022,5/13/2022
292507,1/6/2015,5/18/2023,2,-226.35,NULL,9/21/2018,9/28/2018
292520,1/6/2015,8/19/2015,1,-180.73,NULL,1/28/2015,1/28/2015
292523,1/6/2015,8/15/2017,1,-705,NULL,4/15/2017,4/15/2017
292543,1/6/2015,11/4/2022,1,-159.9,NULL,8/9/2021,8/9/2021
292610,1/6/2015,5/20/2023,2,-359.53,NULL,1/20/2022,1/20/2022
292664,1/6/2015,5/23/2023,1,-127.43,NULL,8/23/2016,8/23/2016
292685,1/6/2015,3/24/2023,1,-133.97,NULL,7/10/2022,7/10/2022
292687,1/6/2015,5/22/2023,2,-1400.57,-30,11/8/2021,11/3/2022
292693,1/6/2015,8/1/2019,2,-273.46,NULL,2/16/2016,2/16/2016
292703,1/6/2015,1/9/2023,1,-2608.46,NULL,12/9/2020,12/9/2020
292706,1/6/2015,5/31/2023,12,-5614.39,NULL,10/19/2015,3/9/2020
292716,1/6/2015,5/10/2023,3,-643.69,NULL,7/14/2019,3/16/2020
292718,1/6/2015,5/12/2017,1,-177.81,NULL,5/13/2017,5/13/2017
292726,1/6/2015,6/3/2022,1,-237.46,NULL,8/8/2021,8/8/2021
292728,1/6/2015,2/26/2022,2,-1887.24,NULL,2/8/2020,2/8/2020
292768,1/6/2015,5/29/2023,5,-1737.13,-30,11/8/2021,9/22/2022
292777,1/6/2015,10/24/2019,1,-105.13,NULL,5/13/2015,5/13/2015
292791,1/6/2015,3/15/2023,10,-5286.51,-60,3/6/2020,1/12/2023
292793,1/6/2015,4/5/2023,4,-2791.93,NULL,10/27/2017,6/12/2021
292810,1/6/2015,5/9/2023,1,-74.14,-45,12/5/2021,12/5/2021
292831,1/6/2015,8/15/2022,1,-214.44,NULL,4/27/2016,4/27/2016
292833,1/6/2015,5/31/2023,2,-344.88,NULL,5/6/2015,4/10/2021
292844,1/6/2015,9/24/2022,1,-92.12,-25,12/5/2020,12/5/2020
292846,1/6/2015,6/2/2023,2,-416.13,-30,5/31/2022,7/5/2022
292870,1/6/2015,8/5/2019,1,0,NULL,11/22/2018,11/22/2018
292879,1/6/2015,5/15/2023,1,-73.04,NULL,12/1/2015,12/1/2015
292900,1/6/2015,5/26/2023,9,-347.37,NULL,4/20/2020,5/13/2021
292901,1/6/2015,5/7/2015,1,-292.85,NULL,3/9/2015,3/9/2015
292903,1/6/2015,9/3/2022,1,-375.25,NULL,11/21/2016,11/21/2016
292937,1/6/2015,6/2/2023,1,-30.59,NULL,6/23/2022,6/23/2022
292956,1/6/2015,5/25/2022,2,-1255.44,-25,12/5/2020,4/4/2022
292958,1/6/2015,5/12/2023,2,-367.36,NULL,1/7/2015,11/29/2017
292976,1/6/2015,6/2/2023,2,-1638.02,NULL,2/11/2018,9/21/2021
292982,1/6/2015,5/25/2023,17,-11254.8,-300,2/17/2018,10/26/2022
293031,1/6/2015,6/2/2023,1,0,NULL,12/31/2019,12/31/2019
293059,1/6/2015,5/22/2023,1,-87.24,-20,7/18/2020,7/18/2020
293096,1/7/2015,10/13/2022,1,-95.28,NULL,1/23/2022,1/23/2022
293106,1/7/2015,9/28/2021,2,-471.1,NULL,9/9/2021,9/9/2021
293145,1/7/2015,5/29/2023,5,-5095.65,NULL,12/11/2020,2/21/2022
293157,1/7/2015,6/1/2023,1,-1511.9,NULL,1/6/2022,1/6/2022
293182,1/7/2015,5/1/2023,1,-189.35,NULL,7/1/2021,7/1/2021
293188,1/7/2015,2/21/2023,3,-404.81,-141,7/30/2018,10/31/2022
293199,1/7/2015,8/18/2019,1,-131.21,NULL,6/6/2015,6/6/2015
293211,1/7/2015,3/23/2019,4,-4975.52,NULL,4/12/2017,1/10/2019
293217,1/7/2015,5/22/2023,1,-65.45,NULL,6/27/2017,6/27/2017
293222,1/7/2015,1/28/2020,2,-401.07,NULL,4/8/2015,4/8/2015
293238,1/7/2015,5/30/2023,5,-1009.79,NULL,3/6/2018,4/19/2023
293241,1/7/2015,2/21/2023,1,-129.25,NULL,8/13/2021,8/13/2021
293271,1/7/2015,6/2/2023,1,-566.55,NULL,11/27/2021,11/27/2021
293276,1/7/2015,2/28/2023,12,-3492.93,-90,6/5/2022,11/29/2022
293308,1/7/2015,5/26/2023,5,-2090.64,-30,12/9/2019,12/20/2021
293312,1/7/2015,1/8/2023,1,-1138.35,NULL,10/19/2018,10/19/2018
293332,1/7/2015,5/12/2023,7,-4266.63,-30,6/23/2019,2/9/2022
293365,1/7/2015,3/20/2023,1,-190.03,NULL,7/20/2017,7/20/2017
293403,1/7/2015,5/9/2022,1,-375.26,NULL,4/27/2022,4/27/2022
293408,1/7/2015,5/27/2023,1,-449.2,-45,10/5/2021,10/5/2021
293437,1/7/2015,5/14/2021,1,-98.4,NULL,2/29/2016,2/29/2016
293438,1/7/2015,2/13/2020,1,-65.73,NULL,4/18/2015,4/18/2015
293445,1/7/2015,4/20/2023,1,-324.39,NULL,2/15/2020,2/15/2020
293469,1/7/2015,5/11/2023,1,-182.57,NULL,12/31/2018,12/31/2018
293484,1/7/2015,5/28/2023,6,-654.74,NULL,11/27/2015,1/10/2022
293497,1/7/2015,5/28/2023,7,-1470.44,NULL,12/16/2019,7/6/2021
293515,1/7/2015,5/31/2023,1,-107.83,NULL,3/11/2017,3/11/2017
293523,1/7/2015,5/18/2023,2,-104.13,NULL,9/11/2020,2/19/2022
293532,1/7/2015,5/23/2023,1,-241.13,NULL,1/27/2020,1/27/2020
293552,1/8/2015,9/26/2022,1,-319.55,NULL,5/29/2015,5/29/2015
293554,1/8/2015,10/21/2020,1,-322.72,NULL,5/2/2019,5/2/2019
293557,1/8/2015,8/8/2021,4,-5963.7,NULL,6/20/2017,9/22/2017
293564,1/8/2015,3/20/2023,1,-170.53,NULL,8/18/2021,8/18/2021
293594,1/8/2015,2/26/2023,1,-1278.14,NULL,2/6/2015,2/6/2015
293605,1/8/2015,6/1/2023,1,-127.41,NULL,9/20/2020,9/20/2020
293613,1/8/2015,1/8/2023,1,-557.27,NULL,12/15/2020,12/15/2020
293630,1/8/2015,6/2/2023,2,-241.59,NULL,5/3/2021,5/3/2021
293645,1/8/2015,12/30/2016,2,-251.16,NULL,2/20/2015,2/25/2015
293649,1/8/2015,5/30/2023,5,-1018.24,-30,6/25/2018,1/16/2023
293658,1/8/2015,2/28/2023,1,0,NULL,8/16/2020,8/16/2020
293665,1/8/2015,5/30/2023,7,-3827.84,-20,8/11/2017,4/26/2021
293675,1/8/2015,3/15/2021,1,-224.28,NULL,3/15/2021,3/15/2021
293679,1/8/2015,11/22/2019,1,-322.14,NULL,4/2/2015,4/2/2015
293689,1/8/2015,4/20/2023,2,-337.1,NULL,8/28/2020,9/28/2021
293690,1/8/2015,7/18/2020,3,-745.11,NULL,1/11/2015,2/24/2015
293711,1/8/2015,4/20/2023,2,-1340,NULL,7/29/2022,8/24/2022
293723,1/8/2015,1/14/2023,1,-972.96,NULL,3/10/2018,3/10/2018
293741,1/8/2015,11/22/2022,1,0,NULL,7/5/2019,7/5/2019
293815,1/8/2015,5/23/2023,6,-2788.91,NULL,10/22/2016,7/18/2019
293840,1/8/2015,10/13/2018,1,-221.07,NULL,5/20/2015,5/20/2015
293847,1/8/2015,4/20/2023,1,-97.3,NULL,2/6/2015,2/6/2015
293857,1/8/2015,8/26/2022,1,-103.57,NULL,9/26/2015,9/26/2015
293870,1/8/2015,7/27/2019,1,-123.09,NULL,5/16/2015,5/16/2015
293872,1/8/2015,5/2/2023,2,-582.36,NULL,9/3/2019,9/3/2019
293907,1/8/2015,3/23/2022,2,-126.85,NULL,4/15/2020,4/15/2020
293909,1/8/2015,5/29/2023,1,-205.21,NULL,12/3/2020,12/3/2020
293929,1/8/2015,5/28/2023,2,-1548.62,NULL,6/10/2019,7/9/2019
293963,1/8/2015,4/11/2023,5,-1255.04,-30,2/28/2020,12/15/2022
293965,1/8/2015,4/18/2023,1,-173.58,NULL,4/16/2023,4/16/2023
293996,1/9/2015,4/16/2023,6,-3265.48,NULL,6/8/2016,7/24/2022
294037,1/9/2015,1/9/2015,1,-205.72,NULL,1/11/2015,1/11/2015
294074,1/9/2015,4/20/2020,1,-189.45,NULL,4/20/2016,4/20/2016
294113,1/9/2015,4/25/2023,1,-1115.45,NULL,1/12/2018,1/12/2018
294121,1/9/2015,1/26/2023,2,-910.99,NULL,3/11/2021,12/12/2022
294156,1/9/2015,5/29/2023,2,-455.85,-55,8/23/2019,12/1/2020
294157,1/9/2015,4/10/2023,1,-604.02,NULL,4/29/2018,4/29/2018
294161,1/9/2015,3/30/2023,1,-309.83,NULL,12/27/2022,12/27/2022
294162,1/9/2015,5/22/2023,2,-236.44,NULL,8/31/2017,9/20/2017
294168,1/9/2015,8/26/2022,1,-396.14,NULL,9/30/2016,9/30/2016
294209,1/9/2015,3/7/2023,1,-232.3,NULL,10/19/2019,10/19/2019
294217,1/9/2015,4/13/2023,3,-310.15,NULL,11/11/2019,1/20/2020
294230,1/9/2015,4/5/2023,2,-527.37,NULL,6/15/2016,6/22/2016
294239,1/9/2015,2/19/2021,1,-120.4,NULL,2/19/2015,2/19/2015
294243,1/9/2015,2/6/2023,1,-89.83,NULL,3/26/2019,3/26/2019
294244,1/9/2015,9/24/2019,2,-177.84,NULL,1/11/2015,2/27/2015
294283,1/9/2015,5/18/2023,1,-90.84,NULL,7/18/2020,7/18/2020
294307,1/9/2015,4/27/2019,2,-434.32,NULL,3/11/2015,3/12/2015
294356,1/9/2015,5/13/2023,2,-1812.34,NULL,5/21/2017,4/28/2021
294371,1/9/2015,6/1/2023,1,-301.15,NULL,8/16/2021,8/16/2021
294373,1/9/2015,10/2/2022,3,-730.16,-15,4/18/2019,8/4/2021
294389,1/9/2015,9/6/2020,3,-635.97,NULL,9/1/2016,4/25/2018
294398,1/9/2015,2/23/2023,3,-1042.73,NULL,5/10/2018,9/1/2018
294399,1/9/2015,5/22/2023,3,-400.25,NULL,5/11/2021,5/11/2021
294418,1/10/2015,6/2/2023,21,-3936.59,-30,3/21/2018,8/9/2022
294475,1/10/2015,5/30/2023,1,-702.41,NULL,7/15/2017,7/15/2017
294477,1/10/2015,4/28/2023,1,-129.55,NULL,3/10/2020,3/10/2020
294486,1/10/2015,3/29/2023,1,-2061.79,NULL,10/18/2021,10/18/2021
294502,1/10/2015,6/20/2017,9,-5519.11,NULL,2/1/2016,2/3/2016
294528,1/10/2015,5/7/2019,4,-1862.1,NULL,11/7/2016,2/28/2018
294536,1/10/2015,5/17/2023,1,-94.26,NULL,1/15/2022,1/15/2022
294551,1/10/2015,5/17/2023,2,-642.78,NULL,7/17/2018,4/26/2022
294607,1/10/2015,5/21/2023,12,-9217.67,NULL,6/21/2017,11/8/2019
294619,1/10/2015,5/31/2023,1,-185.89,NULL,4/13/2023,4/13/2023
294626,1/10/2015,5/30/2023,16,-2443.91,-30,3/7/2020,5/14/2022
294656,1/10/2015,4/30/2023,1,-151.91,NULL,8/25/2022,8/25/2022
294663,1/10/2015,7/16/2022,1,-968.65,NULL,3/6/2018,3/6/2018
294686,1/10/2015,3/20/2021,4,-969.05,NULL,10/9/2019,1/4/2021
294688,1/10/2015,5/15/2023,1,-134.71,NULL,9/1/2016,9/1/2016
294720,1/10/2015,5/31/2023,2,-1577.91,NULL,1/27/2021,10/9/2022
294725,1/10/2015,5/30/2023,4,-1030.39,-65.91,5/2/2015,5/4/2023
294726,1/10/2015,4/8/2023,2,-760.32,NULL,5/2/2022,8/2/2022
294752,1/10/2015,6/2/2023,5,-1324.46,-15,6/15/2021,1/16/2023
294756,1/10/2015,3/31/2023,1,-447.19,NULL,1/28/2022,1/28/2022
294766,1/10/2015,1/30/2023,2,-357.77,-20,9/21/2022,9/22/2022
294778,1/10/2015,4/23/2021,4,-1849.14,NULL,3/19/2017,11/14/2018
294827,1/11/2015,1/28/2020,1,-97.74,NULL,6/26/2018,6/26/2018
294870,1/11/2015,5/10/2019,2,-548.83,NULL,3/12/2015,1/15/2018
294895,1/11/2015,1/23/2022,2,-246.18,NULL,1/12/2015,4/14/2015
294917,1/11/2015,2/9/2023,1,-2564.01,NULL,8/3/2021,8/3/2021
294923,1/11/2015,5/14/2023,7,-1474.5,NULL,7/23/2015,10/24/2018
294936,1/11/2015,5/3/2023,4,-2496.7,NULL,6/3/2021,3/28/2023
294976,1/11/2015,3/18/2023,1,-564,NULL,3/6/2018,3/6/2018
294982,1/11/2015,4/20/2023,2,-541.08,-10,1/22/2015,4/2/2021
295000,1/11/2015,5/5/2023,3,-1962.01,-15,3/6/2020,1/5/2023
295007,1/11/2015,5/27/2023,4,-1371.68,NULL,2/19/2015,4/9/2021
295025,1/11/2015,4/19/2023,1,-2495.04,NULL,1/14/2015,1/14/2015
295035,1/11/2015,1/27/2023,1,-574.31,NULL,10/7/2015,10/7/2015
295046,1/11/2015,2/28/2023,1,-147.3,NULL,5/31/2022,5/31/2022
295092,1/11/2015,4/4/2023,1,-118.21,NULL,11/11/2016,11/11/2016
295103,1/11/2015,6/1/2023,5,-1807.11,NULL,1/13/2019,2/17/2021
295126,1/11/2015,5/18/2016,2,-765.84,NULL,1/17/2015,1/18/2015
295165,1/11/2015,2/11/2023,2,-549.33,NULL,2/12/2020,11/10/2021
295183,1/12/2015,5/29/2023,10,-2069.53,NULL,9/17/2017,5/24/2022
295186,1/12/2015,5/23/2023,1,-510.26,NULL,11/11/2020,11/11/2020
295237,1/12/2015,6/8/2020,5,-4017.6,NULL,1/3/2019,1/5/2019
295252,1/12/2015,5/29/2023,3,-835.61,-30,6/12/2019,4/17/2023
295273,1/12/2015,5/28/2023,1,-1580.89,NULL,10/16/2019,10/16/2019
295275,1/12/2015,6/29/2022,1,-1782.66,NULL,2/27/2019,2/27/2019
295301,1/12/2015,6/1/2023,1,-142.24,-30,6/14/2022,6/14/2022
295319,1/12/2015,4/14/2023,1,0,NULL,4/1/2023,4/1/2023
295333,1/12/2015,5/25/2023,18,-5697.11,-95,1/2/2017,5/12/2022
295339,1/12/2015,4/11/2023,1,-126.37,NULL,3/27/2018,3/27/2018
295344,1/12/2015,5/31/2023,3,-1314.63,NULL,9/22/2015,10/24/2019
295379,1/12/2015,5/28/2023,2,-2285.63,NULL,4/9/2020,6/2/2021
295388,1/12/2015,3/22/2023,3,-1641.29,NULL,3/2/2015,4/30/2017
295394,1/12/2015,5/30/2023,2,-1800.17,NULL,3/18/2020,1/2/2022
295396,1/12/2015,2/20/2023,1,-332.27,NULL,12/30/2021,12/30/2021
295398,1/12/2015,3/8/2023,1,-450.14,NULL,3/8/2023,3/8/2023
295428,1/12/2015,5/3/2021,1,0,NULL,4/6/2015,4/6/2015
295438,1/12/2015,1/13/2018,2,-224.16,NULL,7/14/2015,7/14/2015
295445,1/12/2015,5/22/2023,1,-188.86,NULL,9/20/2016,9/20/2016
295463,1/12/2015,5/28/2023,7,-2279.47,NULL,6/28/2021,11/6/2022
